Loudness,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,ZCR,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12,Mel_Spectrogram_1,Mel_Spectrogram_2,Mel_Spectrogram_3,Mel_Spectrogram_4,Mel_Spectrogram_5,Mel_Spectrogram_6,Mel_Spectrogram_7,Mel_Spectrogram_8,Mel_Spectrogram_9,Mel_Spectrogram_10,Mel_Spectrogram_11,Mel_Spectrogram_12
-0.29583854447312713,0.705805778503418,0.6226798892021179,0.5892178416252136,0.5836651921272278,0.6157337427139282,0.6700509190559387,0.6844708323478699,0.6826128959655762,0.6952106356620789,0.6139280200004578,0.567262589931488,0.3583296239376068,-0.6376326749966412,-0.32268908619880676,-0.18478019535541534,-0.46110799908638,-0.37743663787841797,-0.31640490889549255,-0.4751777946949005,-0.5798873901367188,-0.5647922158241272,-0.5081518292427063,-0.5041914582252502,-0.6024360060691833,-0.5572400689125061,-0.6373651027679443,-0.7269567847251892,-0.7840434908866882,-0.8083317279815674,-0.8078317046165466,-0.8125415444374084,-0.8183916211128235,-0.8183953762054443,-0.812578022480011,-0.678307831287384,-0.7040197849273682,-0.6261330246925354
-0.35460143041959585,0.7307549118995667,0.7174728512763977,0.5592463612556458,0.49799978733062744,0.5210078358650208,0.5736208558082581,0.6066290736198425,0.5961554646492004,0.5824955701828003,0.5423427224159241,0.45059165358543396,0.4827769696712494,-0.5689379398592451,-0.08638465404510498,-0.6043857932090759,-0.3742211163043976,-0.09992609173059464,-0.054324787110090256,-0.07129759341478348,-0.13015228509902954,-0.23521238565444946,-0.2647493779659271,-0.20143581926822662,-0.22616009414196014,-0.5121051073074341,-0.2802078127861023,-0.5947359204292297,-0.6368815302848816,-0.6141274571418762,-0.6756463646888733,-0.7304126620292664,-0.7597718834877014,-0.773918628692627,-0.7690916657447815,-0.7692429423332214,-0.5470156073570251,-0.6354759931564331
-0.3904101140001483,0.7201485633850098,0.7329736351966858,0.6542312502861023,0.5790077447891235,0.5916959047317505,0.6595883369445801,0.6612163186073303,0.6873186230659485,0.6931092143058777,0.6816790103912354,0.698750913143158,0.5300300121307373,-0.6024617343555189,-0.2693651020526886,-0.12428124994039536,-0.03266499564051628,0.09177005290985107,-0.21236014366149902,-0.2866152226924896,-0.49230334162712097,-0.4744880199432373,-0.463193416595459,-0.5130970478057861,-0.567516565322876,-0.36957964301109314,-0.275043249130249,-0.6083118319511414,-0.6784115433692932,-0.6908164620399475,-0.7882837653160095,-0.8053412437438965,-0.801199197769165,-0.8026577830314636,-0.7965989112854004,-0.80013108253479,-0.8048275113105774,-0.57634037733078
-0.3366505327533114,0.7022843956947327,0.6122329831123352,0.5761147141456604,0.5853011012077332,0.6046576499938965,0.6232684850692749,0.6429592967033386,0.6320523619651794,0.6265475749969482,0.624403178691864,0.6397572159767151,0.6463003158569336,-0.34513680494263016,-0.06951424479484558,-0.19509316980838776,-0.26396578550338745,-0.3452957570552826,-0.2543776333332062,-0.3593693673610687,-0.3671993911266327,-0.37490496039390564,-0.34696248173713684,-0.391404390335083,-0.31488922238349915,-0.2881244719028473,-0.505983293056488,-0.7256105542182922,-0.7782480716705322,-0.8005704879760742,-0.8034996390342712,-0.8063725829124451,-0.8038998246192932,-0.8009812235832214,-0.8008537292480469,-0.8055459856987,-0.8009881973266602,-0.803260087966919
-0.3996873127795107,0.754564106464386,0.6948285102844238,0.6067548990249634,0.5872904658317566,0.6122239232063293,0.6273863911628723,0.6609464287757874,0.6634964942932129,0.6693670749664307,0.6659430861473083,0.667792022228241,0.4949127733707428,-0.4921348314606742,-0.151127889752388,0.07501106709241867,-0.43656325340270996,-0.3357599675655365,-0.3438239097595215,0.038275089114904404,0.05642705038189888,0.016945207491517067,-0.03910741209983826,-0.011632487177848816,-0.059971004724502563,-0.1802235245704651,-0.48637595772743225,-0.5674012899398804,-0.6307231783866882,-0.7205967307090759,-0.7637197971343994,-0.7499337196350098,-0.7567022442817688,-0.7601907849311829,-0.7562291622161865,-0.7654309868812561,-0.7690746188163757,-0.6487601399421692
0.019435650964258127,0.7613840103149414,0.717194139957428,0.5991957783699036,0.5313257575035095,0.5071032643318176,0.48591408133506775,0.4976406991481781,0.524882972240448,0.5250818133354187,0.5363110899925232,0.5500144958496094,0.45560741424560547,-0.6898205766438498,-0.5606441497802734,-0.11674484610557556,-0.07521609216928482,-0.1281740516424179,-0.20937849581241608,-0.3407770097255707,-0.581093966960907,-0.6303291320800781,-0.4547417461872101,-0.4311180114746094,-0.3970278799533844,-0.39463576674461365,-0.4379565417766571,-0.4481985569000244,-0.601220428943634,-0.6205713152885437,-0.7064253687858582,-0.7775169014930725,-0.8043045401573181,-0.807166576385498,-0.8011131286621094,-0.7981186509132385,-0.7965688705444336,-0.7631218433380127
-0.27806791007207243,0.7616331577301025,0.6836779713630676,0.6473940014839172,0.646418571472168,0.651936948299408,0.6184347867965698,0.6111657023429871,0.6081097722053528,0.5969438552856445,0.6184608340263367,0.5043151378631592,0.5152971744537354,-0.4215332498711246,-0.10061077028512955,-0.14677461981773376,-0.15754850208759308,-0.3398648798465729,-0.3893181383609772,-0.3026725947856903,-0.21892917156219482,-0.22749803960323334,-0.19536268711090088,-0.27978190779685974,-0.19480593502521515,-0.6186145544052124,-0.5162115097045898,-0.5975273251533508,-0.7298019528388977,-0.7758245468139648,-0.7834387421607971,-0.7841525077819824,-0.7794733643531799,-0.7684919238090515,-0.7536818385124207,-0.7532389760017395,-0.6239840388298035,-0.7063366770744324
-0.3814876900825512,0.6863846778869629,0.6399934887886047,0.6162897348403931,0.6347455382347107,0.6743156313896179,0.6790218353271484,0.6822627186775208,0.7009003162384033,0.7231418490409851,0.7288286685943604,0.7545780539512634,0.7050852179527283,-0.5693412715752676,-0.37864938378334045,-0.3460157811641693,-0.27658990025520325,-0.1703251749277115,-0.322916179895401,-0.19046330451965332,-0.42283889651298523,-0.4832189381122589,-0.33109644055366516,-0.3190881907939911,-0.34835347533226013,-0.42300692200660706,-0.5267180800437927,-0.7042512893676758,-0.7623429298400879,-0.7801782488822937,-0.7856295108795166,-0.7906702160835266,-0.7898778319358826,-0.7886164784431458,-0.761305570602417,-0.7304823994636536,-0.7118560671806335,-0.672292947769165
-0.4636683587546822,0.6884177327156067,0.6184834837913513,0.589049220085144,0.5717722773551941,0.570834755897522,0.5946831107139587,0.6089487671852112,0.6261043548583984,0.5769150853157043,0.5608823895454407,0.4315454959869385,0.5215802788734436,-0.6139543242645433,-0.45295652747154236,-0.475085586309433,-0.6094500422477722,-0.47589659690856934,-0.3462574779987335,-0.5861310362815857,-0.49172815680503845,-0.32030534744262695,-0.5682963132858276,-0.5990408658981323,-0.6940681338310242,-0.7165029644966125,-0.7161535620689392,-0.7703599333763123,-0.7991036772727966,-0.7986696362495422,-0.8130323886871338,-0.8243981003761292,-0.8240113854408264,-0.8205790519714355,-0.798071563243866,-0.6645333170890808,-0.6391692757606506,-0.5388343930244446
-0.36038857716589434,0.6956634521484375,0.6262039542198181,0.5939692854881287,0.6055194735527039,0.6709368228912354,0.700294017791748,0.6936466693878174,0.6991286873817444,0.7104465365409851,0.7104163765907288,0.6929951310157776,0.7143535614013672,-0.3517429376948785,-0.10016842931509018,-0.21469056606292725,-0.2279232293367386,-0.2918265759944916,-0.34143713116645813,-0.40713921189308167,-0.40408074855804443,-0.3213745355606079,-0.3708009421825409,-0.4085026681423187,-0.4398916959762573,-0.45024892687797546,-0.4917900562286377,-0.6701173782348633,-0.7556734681129456,-0.7888253331184387,-0.7966209053993225,-0.7998142242431641,-0.7975772023200989,-0.7903122305870056,-0.7923875451087952,-0.7926492691040039,-0.797798216342926,-0.802872896194458
